NAME : Instance50-6
COMMENT : (Instance 2 satellites-forbidden, 50 customers-random)
TYPE : 2ECVRP
DIMENSION : 53
SATELLITES : 2
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c1	69	47	565	-1
c2	26	68	66	-1
c3	99	0	198	-1
c4	56	21	400	-1
c5	11	23	724	-1
c6	93	87	274	-1
c7	76	21	173	-1
c8	57	24	84	-1
c9	45	96	308	-1
c10	31	72	981	-1
c11	0	38	315	-1
c12	55	47	232	-1
c13	70	4	870	-1
c14	35	95	35	-1
c15	63	23	285	-1
c16	47	61	816	-1
c17	77	23	115	-1
c18	14	47	878	-1
c19	10	69	14	-1
c20	67	89	793	-1
c21	5	15	470	-1
c22	99	31	548	-1
c23	12	26	25	-1
c24	0	37	204	-1
c25	98	62	121	-1
c26	29	81	23	-1
c27	26	51	731	-1
c28	72	79	592	-1
c29	90	93	422	-1
c30	7	14	54	-1
c31	90	92	100	-1
c32	56	9	680	-1
c33	34	20	413	-1
c34	5	22	61	-1
c35	81	20	780	-1
c36	90	72	27	-1
c37	61	39	767	-1
c38	49	52	383	-1
c39	27	1	567	-1
c40	53	19	33	-1
c41	44	96	938	-1
c42	47	29	152	-1
c43	70	44	53	-1
c44	22	55	542	-1
c45	56	42	704	-1
c46	12	41	736	-1
c47	24	85	519	-1
c48	5	67	134	-1
c49	88	96	305	-1
c50	91	23	996	-1
s1	92.74	84.95	4	-1
s2	10.87	6.22	4	-1
d0	46	174	100000	-1
-1				
EOF				
