NAME : Instance50-25				
"COMMENT : (Instance 3 satellites-random, 50 customers-centroids)"				
TYPE : 2ECVRP				
DIMENSION : 54				
SATELLITES : 3				
CUSTOMERS : 50				
EDGE_WEIGHT_TYPE : EUC_2D				
FLEET_SECTION				
L1CAPACITY : 12500				
L2CAPACITY : 5000				
L1FLEET: 3				
L2FLEET: 6				
NODE_WEIGHT_DEMAND_SECTION:				
c1	50	47	457	-1
c2	59.56	46.43	521	-1
c3	57.08	43.9	933	-1
c4	57.52	53.12	474	-1
c5	52.78	45.31	997	-1
c6	44	38	707	-1
c7	38.93	29.76	987	-1
c8	42.67	29.16	817	-1
c9	44.15	28.31	280	-1
c10	45	30.15	542	-1
c11	49	60	494	-1
c12	53.4	63.89	410	-1
c13	46.69	62.89	784	-1
c14	50.06	63.64	6	-1
c15	48.01	67.82	690	-1
c16	64	50	802	-1
c17	63.72	51.68	878	-1
c18	63.58	56.67	897	-1
c19	64.04	60	645	-1
c20	66.26	43.04	71	-1
c21	35	68	73	-1
c22	29.82	68.25	240	-1
c23	33.03	68.84	55	-1
c24	31.31	66.54	566	-1
c25	35.78	58.12	91	-1
c26	69	46	547	-1
c27	64.23	37.79	954	-1
c28	73.98	37.95	667	-1
c29	66.9	45.15	323	-1
c30	77.35	44.1	225	-1
c32	82	87	724	-1
c32	85.95	92.7	910	-1
c33	86.42	91.69	605	-1
c34	74.51	92.28	324	-1
c35	90.57	90.53	738	-1
c37	9	86	477	-1
c37	8.75	76.71	140	-1
c38	15.28	92.07	772	-1
c39	5.74	91.2	898	-1
c40	1.87	85.05	675	-1
c42	20	15	945	-1
c42	15.55	23.07	926	-1
c43	24.88	17.32	654	-1
c44	15.44	23.8	306	-1
c45	14.89	19.13	358	-1
c47	85	0	297	-1
c47	87.26	0.16	175	-1
c48	88.73	0.75	774	-1
c49	89.47	2.14	954	-1
c50	81.13	5.09	368	-1
s1	45.26	104.86	3	-1
s2	32.91	-2.5	3	-1
s3	105.22	67.95	3	-1
d0	43	175	100000	-1
-1				
EOF				
