NAME : Instance50-35
COMMENT : (Instance 3 satellites-forbidden, 50 customers-quadrants)
TYPE : 2ECVRP
DIMENSION : 54
SATELLITES : 3
CUSTOMERS : 50
EDGE_WEIGHT_TYPE : EUC_2D
FLEET_SECTION
L1CAPACITY : 12500
L2CAPACITY : 5000
L1FLEET: 3
L2FLEET: 6
NODE_WEIGHT_DEMAND_SECTION:
c1	75	74	457	-1
c2	94.12	72.86	521	-1
c3	89.15	67.81	933	-1
c4	90.05	86.24	474	-1
c5	80.56	70.61	997	-1
c6	70.50	62.44	707	-1
c7	64.87	57.52	987	-1
c8	72.34	56.32	817	-1
c9	75.29	54.62	280	-1
c10	77.00	58.29	542	-1
c11	74.04	83.89	494	-1
c12	83.80	81.78	410	-1
c13	70.38	79.77	784	-1
c14	26	77	6	-1
c15	24.03	92.64	690	-1
c16	40.08	76.81	802	-1
c17	25.44	80.37	878	-1
c18	25.16	90.34	897	-1
c19	26.08	97.00	645	-1
c20	30.51	63.08	71	-1
c21	19.46	94.78	73	-1
c22	15.64	77.50	240	-1
c23	22.07	78.67	55	-1
c24	18.62	74.07	566	-1
c25	27.56	57.24	91	-1
c26	44.67	73.42	547	-1
c27	20	20	954	-1
c28	29.97	3.90	667	-1
c29	15.81	18.29	323	-1
c30	36.69	16.21	225	-1
c31	5.16	14.75	724	-1
c32	27.91	31.41	910	-1
c33	28.85	29.37	605	-1
c34	5.02	30.56	324	-1
c35	37.14	27.07	738	-1
c36	17.75	12.06	477	-1
c37	19.51	1.43	140	-1
c38	32.55	32.15	772	-1
c39	73	28	898	-1
c40	57.01	26.11	675	-1
c41	89.84	38.42	945	-1
c42	64.10	44.14	926	-1
c43	82.76	32.64	654	-1
c44	63.88	45.60	306	-1
c45	62.78	36.25	358	-1
c46	72.92	8.00	297	-1
c47	74.14	8.64	175	-1
c48	76.95	11.01	774	-1
c49	80.50	16.57	954	-1
c50	64.00	28.37	368	-1
s1	32.84	-2.32	3	-1
s2	38.99	-3.60	3	-1
s3	92.74	84.95	3	-1
d0	43	175	100000	-1
-1
EOF
